Clock rate (Hz): 100
Sample integration time (s): 0.080000

Index,Time,A,B,AB,C (Noise),AC,BC,ABC ,Ch 8
1,3:02:40 PM,78,68,0,87,0,0,0,0
2,3:02:40 PM,72,89,0,77,0,0,0,0
3,3:02:40 PM,82,82,0,83,0,0,0,0
4,3:02:40 PM,69,83,0,90,0,0,0,0
5,3:02:40 PM,89,93,0,87,0,0,0,0
6,3:02:40 PM,70,89,0,89,0,0,0,0
7,3:02:40 PM,62,81,0,81,0,0,0,0
8,3:02:40 PM,75,87,0,80,0,0,0,0
9,3:02:40 PM,61,73,0,69,0,0,0,0
10,3:02:40 PM,64,87,0,90,0,0,0,0
11,3:02:40 PM,81,89,0,80,0,0,0,0
12,3:02:40 PM,64,90,0,82,0,0,0,0
13,3:02:40 PM,59,95,0,93,0,0,0,0
14,3:02:40 PM,87,62,0,82,0,0,0,0
15,3:02:40 PM,80,85,0,80,0,0,0,0
16,3:02:40 PM,68,91,0,85,0,0,0,0
17,3:02:40 PM,64,89,0,92,0,0,0,0
18,3:02:40 PM,75,90,0,86,0,0,0,0
19,3:02:40 PM,89,98,0,93,0,0,0,0
20,3:02:40 PM,91,92,0,91,0,0,0,0
21,3:02:40 PM,79,102,0,101,0,0,0,0
22,3:02:40 PM,78,74,0,93,0,0,0,0
23,3:02:40 PM,56,87,0,77,0,0,0,0
24,3:02:40 PM,77,81,0,88,0,0,0,0
25,3:02:40 PM,78,96,0,85,0,0,0,0
26,3:02:40 PM,73,90,0,85,0,0,0,0
27,3:02:40 PM,71,89,0,89,0,0,0,0
28,3:02:40 PM,85,69,0,80,0,0,0,0
29,3:02:40 PM,79,85,0,58,0,0,0,0
30,3:02:40 PM,67,89,0,78,0,0,0,0
31,3:02:40 PM,70,86,0,79,0,0,0,0
32,3:02:40 PM,86,86,0,75,0,0,0,0
33,3:02:40 PM,64,95,0,108,0,0,0,0
34,3:02:40 PM,59,79,0,93,0,0,0,0
35,3:02:40 PM,66,92,0,81,0,0,0,0
36,3:02:40 PM,63,80,0,88,0,0,0,0
37,3:02:40 PM,87,88,0,86,0,0,0,0
38,3:02:40 PM,79,96,0,86,0,0,0,0
39,3:02:40 PM,63,84,0,78,0,0,0,0
40,3:02:40 PM,80,82,0,98,0,0,0,0
41,3:02:40 PM,84,70,0,91,0,0,0,0
42,3:02:40 PM,68,103,0,83,0,0,0,0
43,3:02:40 PM,67,102,0,77,0,0,0,0
44,3:02:40 PM,69,78,0,83,0,0,0,0
45,3:02:40 PM,74,95,0,76,0,0,0,0
46,3:02:40 PM,75,66,0,81,0,0,0,0
47,3:02:40 PM,60,76,0,84,0,0,0,0
48,3:02:40 PM,67,85,0,72,0,0,0,0
49,3:02:40 PM,63,90,0,89,0,0,0,0
50,3:02:40 PM,65,102,0,76,0,0,0,0
51,3:02:40 PM,94,81,0,118,0,0,0,0
52,3:02:40 PM,78,83,0,72,0,0,0,0
53,3:02:40 PM,76,113,0,79,0,0,0,0
54,3:02:40 PM,61,86,0,88,0,0,0,0
55,3:02:40 PM,80,83,0,82,0,0,0,0
56,3:02:40 PM,76,71,0,76,0,0,0,0
57,3:02:40 PM,80,95,0,87,0,0,0,0
58,3:02:40 PM,67,96,0,69,0,0,0,0
59,3:02:40 PM,62,75,0,89,0,0,0,0
60,3:02:40 PM,63,93,0,85,0,0,0,0
61,3:02:40 PM,80,82,0,73,0,0,0,0
62,3:02:40 PM,76,91,0,102,0,0,0,0
63,3:02:40 PM,101,82,0,74,0,0,0,0
64,3:02:40 PM,100,100,0,89,0,0,0,0
65,3:02:40 PM,74,104,0,70,0,0,0,0
66,3:02:40 PM,78,104,0,77,0,0,0,0
67,3:02:40 PM,85,86,0,64,0,0,0,0
68,3:02:40 PM,73,89,0,90,0,0,0,0
69,3:02:40 PM,59,77,0,78,0,0,0,0
70,3:02:40 PM,86,80,0,76,0,0,0,0
71,3:02:40 PM,85,92,0,98,0,0,0,0
72,3:02:40 PM,104,77,0,91,0,0,0,0
73,3:02:40 PM,71,82,0,88,0,0,0,0
74,3:02:40 PM,63,83,0,99,0,0,0,0
75,3:02:40 PM,74,88,0,87,0,0,0,0
76,3:02:40 PM,71,83,0,96,0,0,0,0
77,3:02:40 PM,75,65,0,76,0,0,0,0
78,3:02:40 PM,69,102,0,94,0,0,0,0
79,3:02:40 PM,87,93,0,86,0,0,0,0
80,3:02:40 PM,91,83,0,90,0,0,0,0
81,3:02:40 PM,79,111,0,83,0,0,0,0
82,3:02:40 PM,76,101,0,90,0,0,0,0
83,3:02:40 PM,99,81,0,76,0,0,0,0
84,3:02:40 PM,74,83,0,89,0,0,0,0
85,3:02:40 PM,70,79,0,75,0,0,0,0
86,3:02:40 PM,87,91,0,81,0,0,0,0
87,3:02:40 PM,71,88,0,78,0,0,0,0
88,3:02:40 PM,67,78,0,71,0,0,0,0
89,3:02:40 PM,71,78,0,76,0,0,0,0
90,3:02:40 PM,67,82,0,94,0,0,0,0
91,3:02:40 PM,78,102,0,102,0,0,0,0
92,3:02:40 PM,79,82,0,69,0,0,0,0
93,3:02:40 PM,85,97,0,81,0,0,0,0
94,3:02:40 PM,74,89,0,84,0,0,0,0
95,3:02:40 PM,78,86,0,81,0,0,0,0
96,3:02:40 PM,66,94,0,84,0,0,0,0
97,3:02:40 PM,75,86,0,109,0,0,0,0
98,3:02:40 PM,77,76,0,89,0,0,0,0
99,3:02:40 PM,80,94,0,92,0,0,0,0
100,3:02:40 PM,87,75,0,71,0,0,0,0
101,3:02:40 PM,65,84,0,88,0,0,0,0
102,3:02:40 PM,78,93,0,71,0,0,0,0
103,3:02:40 PM,81,107,0,90,0,0,0,0
104,3:02:40 PM,67,88,0,92,0,0,0,0
105,3:02:40 PM,50,81,0,74,0,0,0,0
106,3:02:40 PM,81,92,0,70,0,0,0,0
107,3:02:40 PM,80,97,0,103,0,0,0,0
108,3:02:40 PM,73,88,0,80,0,0,0,0
109,3:02:40 PM,67,89,0,63,0,0,0,0
110,3:02:40 PM,82,70,0,71,0,0,0,0
