Pulse Width (us) - Plot 0,Amplitude - Plot 0
1,4.70E+06
2,8.80E+06
3,1.20E+07
4,1.40E+07
5,1.60E+07
6,1.60E+07
7,1.50E+07
8,1.30E+07
9,9.60E+06
10,5.60E+06
11,1.10E+06
12,-3.40E+06
13,-7.80E+06
14,-1.10E+07
15,-1.40E+07
16,-1.50E+07
17,-1.50E+07
18,-1.40E+07
19,-1.20E+07
20,-8.10E+06
21,-4.00E+06
22,4.10E+05
23,5.10E+06
24,8.90E+06
25,1.20E+07
26,1.40E+07
27,1.50E+07
28,1.50E+07
29,1.40E+07
30,1.20E+07
