Time (uS) - Plot 0,Amplitude - Plot 0
10167,4.00E+06
10200,3.00E+06
10233,1.00E+06
10267,2.72E+05
10300,-8.21E+05
10333,-2.00E+06
10367,-3.00E+06
10400,-4.00E+06
10433,-5.00E+06
10467,-5.00E+06
10500,-6.00E+06
10533,-6.00E+06
10567,-6.00E+06
10600,-6.00E+06
10633,-6.00E+06
10667,-6.00E+06
10700,-5.00E+06
10733,-5.00E+06
10767,-4.00E+06
10800,-3.00E+06
10833,-2.00E+06
10867,-1.00E+06
10900,-5.23E+05
10933,3.70E+05
10967,1.00E+06
11000,2.00E+06
11033,3.00E+06
11067,4.00E+06
11100,4.00E+06
11133,5.00E+06
11167,5.00E+06
11200,5.00E+06
11233,3.90E+07
11267,4.40E+07
11300,-4.43E+05
11333,-4.00E+06
11367,-4.00E+06
11400,-4.00E+06
11433,-3.00E+06
11467,-3.00E+06
11500,-2.00E+06
11533,-2.00E+06
11567,-8.15E+05
11600,2.80E+04
11633,8.28E+05
11667,2.00E+06
11700,2.00E+06
11733,3.00E+06
11767,4.00E+06
11800,4.00E+06
11833,5.00E+06
11867,5.00E+06
11900,6.00E+06
11933,6.00E+06
11967,6.00E+06
12000,5.00E+06
12033,5.00E+06
12067,4.00E+06
12100,4.00E+06
12133,3.00E+06
12167,2.00E+06
12200,1.00E+06
12233,4.21E+05
12267,-5.88E+05
12300,-2.00E+06
12333,-3.00E+06
12367,-3.00E+06
12400,-4.00E+06
12433,-5.00E+06
12467,-6.00E+06
12500,-6.00E+06
12533,-7.00E+06
12567,-7.00E+06
12600,-7.00E+06
12633,-6.00E+06
12667,-6.00E+06
12700,-5.00E+06
12733,-5.00E+06
12767,-4.00E+06
12800,-3.00E+06
12833,-2.00E+06
12867,-8.64E+05
12900,3.14E+05
12933,2.00E+06
12967,3.00E+06
13000,4.00E+06
13033,5.00E+06
13067,6.00E+06
13100,7.00E+06
13133,7.00E+06
13167,8.00E+06
13200,8.00E+06
13233,8.00E+06
13267,8.00E+06
13300,7.00E+06
13333,7.00E+06
13367,6.00E+06
13400,5.00E+06
13433,4.00E+06
13467,3.00E+06
13500,1.00E+06
13533,2.40E+04
13567,-1.00E+06
13600,-3.00E+06
13633,-4.00E+06
13667,-5.00E+06
13700,-6.00E+06
13733,-7.00E+06
13767,-8.00E+06
13800,-9.00E+06
13833,-9.00E+06
13867,-9.00E+06
13900,-9.00E+06
13933,-9.00E+06
13967,-8.00E+06
14000,-7.00E+06
14033,-7.00E+06
14067,-5.00E+06
14100,-4.00E+06
14133,-3.00E+06
14167,-1.00E+06
14200,5.22E+05
14233,2.00E+06
14267,4.00E+06
14300,5.00E+06
14333,6.00E+06
14367,8.00E+06
14400,9.00E+06
14433,9.00E+06
14467,1.00E+07
14500,1.00E+07
14533,1.00E+07
14567,1.00E+07
14600,1.00E+07
14633,9.00E+06
14667,8.00E+06
14700,7.00E+06
14733,6.00E+06
14767,4.00E+06
14800,3.00E+06
14833,1.00E+06
14867,-6.03E+05
14900,-2.00E+06
14933,-4.00E+06
14967,-5.00E+06
15000,-7.00E+06
15033,-8.00E+06
15067,-9.00E+06
15100,-9.00E+06
15133,-1.00E+07
15167,-1.00E+07
15200,-1.00E+07
15233,-1.00E+07
15267,-9.00E+06
15300,-9.00E+06
15333,-8.00E+06
15367,-7.00E+06
15400,-5.00E+06
15433,-4.00E+06
15467,-2.00E+06
15500,-8.39E+05
15533,6.94E+05
15567,2.00E+06
15600,4.00E+06
15633,5.00E+06
15667,6.00E+06
15700,7.00E+06
15733,8.00E+06
15767,9.00E+06
15800,9.00E+06
15833,9.00E+06
15867,9.00E+06
15900,9.00E+06
15933,8.00E+06
15967,7.00E+06
16000,6.00E+06
16033,5.00E+06
16067,4.00E+06
16100,3.00E+06
16133,2.00E+06
16167,2.11E+05
16200,-1.00E+06
16233,-2.00E+06
16267,-4.00E+06
16300,-5.00E+06
16333,-6.00E+06
16367,-6.00E+06
16400,-7.00E+06
16433,-7.00E+06
16467,-8.00E+06
16500,-8.00E+06
16533,-7.00E+06
16567,-7.00E+06
16600,-6.00E+06
16633,-6.00E+06
16667,-5.00E+06
16700,-4.00E+06
16733,-3.00E+06
16767,-2.00E+06
16800,-5.13E+05
16833,6.22E+05
16867,2.00E+06
16900,3.00E+06
16933,4.00E+06
16967,5.00E+06
17000,5.00E+06
17033,6.00E+06
17067,6.00E+06
17100,6.00E+06
17133,6.00E+06
17167,6.00E+06
17200,6.00E+06
17233,5.00E+06
17267,5.00E+06
17300,4.00E+06
17333,3.00E+06
17367,3.00E+06
17400,2.00E+06
17433,6.12E+05
17467,-3.40E+05
17500,-1.00E+06
17533,-2.00E+06
17567,-3.00E+06
17600,-4.00E+06
