Pulse Width (us) - Plot 0,Amplitude - Plot 0
3,1.20E+07
3.25,1.30E+07
3.5,1.30E+07
3.75,1.40E+07
4,1.40E+07
4.25,1.50E+07
4.5,1.50E+07
4.75,1.60E+07
5,1.60E+07
5.25,1.60E+07
5.5,1.60E+07
5.75,1.60E+07
6,1.60E+07
6.25,1.60E+07
6.5,1.60E+07
6.75,1.50E+07
7,1.50E+07
7.25,1.50E+07
7.5,1.40E+07
7.75,1.30E+07
8,1.30E+07
8.25,1.20E+07
8.5,1.10E+07
8.75,1.00E+07
9,9.70E+06
9.25,8.90E+06
9.5,7.80E+06
9.75,7.20E+06
10,5.70E+06
